Instalação;"Nº de Incidentes";Incidentes
" SEE-SAHA-23211 ";" 15 ";" 13017, 14918, 15226, 15712, 16107, 16195, 17165, 17457, 17461, 17486, 17502, 17918, 18223, 21921, 22550 "
" SEE-ACNA-23173 ";" 10 ";" 15908, 16907, 17303, 17833, 18347, 19090, 20056, 21855, 22084, 22552 "
" SEE-SAAS-22960 ";" 24 ";" 13235, 13405, 13443, 13712, 14243, 14409, 15511, 16273, 17108, 17298, 18233, 18488, 19667, 19848, 20506, 20573, 20579, 21380, 22071, 22554, 22827, 22855, 22871, 22972 "
" SEE-SAAO-22390 ";" 11 ";" 14994, 15848, 16282, 17640, 18862, 19351, 19648, 20753, 21911, 22556, 22881 "
" SEE-ACNA-23175 ";" 17 ";" 12725, 13438, 13831, 15552, 15557, 15753, 15794, 17050, 17332, 17744, 17834, 18451, 19091, 19446, 19835, 21491, 22557 "
" SEE-MOIA-22184 ";" 21 ";" 13952, 15157, 15250, 16155, 17245, 17291, 17292, 17530, 17661, 17842, 17887, 17893, 17899, 18388, 19294, 20327, 20508, 20566, 20583, 21874, 22559 "
" SEE-SAES-22272 ";" 9 ";" 16430, 17683, 18625, 19266, 19733, 20348, 20532, 21859, 22562 "
" SEE-TUNA-21931 ";" 16 ";" 13814, 14108, 14939, 14949, 15115, 15119, 15123, 15129, 16670, 17402, 17764, 18180, 18492, 20018, 21843, 22563 "
" SEE-VAIA-22300 ";" 12 ";" 12597, 12843, 14149, 14232, 14533, 16857, 18132, 19020, 19380, 20434, 21472, 22567 "
" SEE-TAIM-23172 ";" 16 ";" 14256, 14281, 14973, 15486, 15488, 15853, 16741, 17260, 18302, 18598, 19728, 19993, 20907, 21387, 22568, 22905 "
" SEE-JAIA-22155 ";" 18 ";" 14174, 14318, 14464, 14814, 14910, 14996, 15684, 15702, 15873, 15918, 16010, 16105, 16796, 20818, 21397, 21705, 22569, 22940 "
" SEE-GOES-22803 ";" 8 ";" 13194, 13538, 16943, 18100, 18486, 19976, 21255, 22571 "
" SEE-RIAS-22557 ";" 21 ";" 12664, 12791, 12851, 12994, 13303, 13503, 14746, 14937, 15006, 15134, 15152, 15693, 16499, 17192, 17792, 18563, 19830, 21134, 21549, 21983, 22572 "
" SEE-CORO-22015 ";" 11 ";" 13267, 14123, 15236, 15286, 15631, 16527, 18170, 18876, 20028, 21518, 22573 "
" SEE-MOOS-22046 ";" 16 ";" 12818, 13073, 13688, 16906, 17280, 17299, 17586, 17639, 17660, 17663, 17783, 17858, 18626, 20004, 22029, 22574 "
" SEE-ITBI-22133 ";" 8 ";" 12775, 13066, 14868, 16770, 18593, 19918, 21293, 22575 "
" SEE-ITRI-22820 ";" 18 ";" 12949, 12975, 14150, 14720, 14867, 15065, 15072, 15204, 16680, 16948, 17126, 17675, 18003, 19348, 20944, 21073, 21528, 22576 "
" SEE-SIIA-23408 ";" 10 ";" 12567, 13020, 14851, 15427, 17044, 18197, 18975, 19115, 21281, 22577 "
" SEE-BUIS-22073 ";" 7 ";" 13103, 16678, 18350, 19181, 20756, 21511, 22579 "
" SEE-INIM-23154 ";" 9 ";" 13238, 16612, 18566, 19874, 21135, 21512, 22017, 22109, 22582 "
" SEE-NAUE-22934 ";" 16 ";" 12677, 12885, 13652, 13818, 14580, 16548, 17151, 17152, 17706, 18066, 18971, 19789, 20017, 20523, 21642, 22583 "
" SEE-BOVA-23560 ";" 9 ";" 16508, 17986, 18679, 19795, 19894, 20447, 20923, 21781, 22586 "
" SEE-JUIA-22170 ";" 14 ";" 13121, 15876, 16994, 17241, 17276, 17773, 18251, 18574, 19623, 20278, 20375, 20968, 21733, 22588 "
" SEE-FEOS-23782 ";" 7 ";" 13029, 16291, 18991, 19223, 19756, 21382, 22590 "
" SEE-SATA-23796 ";" 14 ";" 13057, 13703, 15896, 16546, 17311, 17346, 17351, 17465, 17793, 18783, 19131, 20936, 21615, 22592 "
" SEE-MOOS-22743 ";" 6 ";" 16609, 18617, 19479, 20091, 21374, 22596 "
" SEE-COAS-23512 ";" 10 ";" 14229, 14710, 16751, 18506, 19400, 19856, 20616, 20628, 21777, 22599 "
" SEE-LAHA-23662 ";" 11 ";" 12580, 15626, 16821, 18943, 19963, 20112, 20300, 20930, 21149, 21480, 22600 "
" SEE-MUUM-23397 ";" 11 ";" 13072, 13385, 13917, 17127, 18067, 18345, 19251, 19473, 21395, 21665, 22601 "
" SEE-PAHO-23825 ";" 6 ";" 16754, 18349, 19258, 19472, 20941, 22604 "
" SEE-COUS-23002 ";" 13 ";" 13122, 14017, 14419, 14698, 14895, 14896, 14897, 16701, 18835, 19205, 19411, 21557, 22605 "
" SEE-JAIA-21962 ";" 17 ";" 12609, 12934, 13378, 14296, 14298, 14428, 14448, 16011, 16977, 18960, 19499, 19905, 20475, 20564, 21960, 22032, 22607 "
" SEE-MOIA-22185 ";" 21 ";" 12669, 13375, 13401, 13423, 14128, 14181, 14234, 14277, 14371, 14528, 14785, 14805, 15661, 16849, 17408, 17902, 18668, 20261, 21590, 22608, 22909 "
" SEE-SAAS-23384 ";" 7 ";" 16293, 16688, 17851, 18473, 20220, 21577, 22609 "
" SEE-SAES-22251 ";" 7 ";" 14427, 16744, 18465, 19261, 19574, 21928, 22610 "
" SEE-JAAR-23351 ";" 7 ";" 16542, 17531, 18588, 19162, 19538, 21628, 22611 "
" SEE-BOAS-22105 ";" 10 ";" 12679, 16659, 17441, 18604, 19265, 19593, 20915, 21283, 22127, 22612 "
" SEE-SACO-22233 ";" 11 ";" 15904, 15959, 17016, 18230, 18415, 19815, 20203, 21003, 21228, 21774, 22614 "
" SEE-MOUL-22536 ";" 2 ";" 21175, 22615 "
" SEE-UBGA-23388 ";" 7 ";" 13640, 17009, 18710, 19512, 19832, 21433, 22616 "
" SEE-CAIA-22385 ";" 9 ";" 13237, 17066, 18131, 18817, 19198, 19723, 20751, 21470, 22618 "
" SEE-MIAS-22040 ";" 5 ";" 14322, 16461, 18501, 19888, 22619 "
" SEE-MIAS-22042 ";" 18 ";" 14852, 15327, 15451, 15741, 15905, 15991, 17139, 17433, 17666, 17843, 20370, 20425, 20574, 20578, 21077, 21251, 22620, 22832 "
" SEE-IPMA-23378 ";" 9 ";" 14134, 16373, 18018, 18731, 20287, 20794, 21847, 22079, 22621 "
" SEE-SAES-22237 ";" 9 ";" 12527, 14116, 14916, 17161, 18531, 19241, 21056, 21869, 22622 "
" SEE-BOHO-23363 ";" 10 ";" 14034, 16490, 17163, 17244, 17696, 18812, 19402, 20031, 21791, 22623 "
" SEE-ALAS-22091 ";" 9 ";" 12916, 13534, 13549, 16681, 17815, 18523, 19845, 21566, 22624 "
" SEE-MILA-23333 ";" 9 ";" 12624, 13140, 13711, 14884, 15031, 17055, 20963, 21339, 22625 "
" SEE-SACO-22224 ";" 10 ";" 13101, 14111, 14498, 14625, 16623, 19043, 19719, 20190, 21611, 22626 "
" SEE-CAUL-22991 ";" 12 ";" 15602, 15696, 16750, 17720, 17727, 17730, 18559, 19616, 19870, 20868, 21669, 22627 "
" SEE-CAHO-22824 ";" 12 ";" 13161, 14690, 16739, 17240, 18062, 18447, 20238, 20618, 21344, 22012, 22103, 22629 "
" SEE-VAMA-21987 ";" 12 ";" 13222, 15240, 16790, 17671, 18779, 19150, 20522, 20854, 21133, 21237, 22078, 22630 "
" SEE-PONE-23156 ";" 7 ";" 16645, 18757, 19517, 20057, 20958, 21455, 22631 "
" SEE-ARAI-22748 ";" 8 ";" 14639, 15660, 16289, 18000, 19523, 20256, 20821, 22632 "
" SEE-MOOS-22734 ";" 20 ";" 12620, 12631, 12761, 13606, 14363, 14950, 15189, 15282, 15887, 15962, 16084, 17113, 17583, 17605, 18281, 21412, 21891, 21933, 21977, 22634 "
" SEE-JAIA-22164 ";" 11 ";" 14457, 15839, 15841, 15849, 16386, 18429, 19129, 19546, 20542, 22117, 22635 "
" SEE-ITBA-22035 ";" 8 ";" 12548, 15097, 17052, 17828, 18272, 20450, 21483, 22636 "
" SEE-COHO-21953 ";" 13 ";" 13931, 15859, 16096, 16334, 17352, 18092, 18093, 18888, 19375, 19496, 22016, 22060, 22637 "
" SEE-COUS-23000 ";" 8 ";" 16729, 18455, 19467, 20098, 20463, 20695, 21885, 22638 "
" SEE-INRA-22779 ";" 10 ";" 13684, 16672, 18450, 19672, 20260, 20662, 21221, 22642, 22836, 22878 "
" SEE-MOOS-22580 ";" 44 ";" 13803, 14361, 14376, 14378, 14381, 14383, 14385, 14400, 14402, 14405, 14426, 14434, 14435, 14446, 14452, 14475, 14478, 14479, 14492, 14493, 14499, 14502, 14515, 14532, 14554, 14644, 15378, 16714, 19001, 19012, 19018, 19021, 19022, 19034, 19047, 19048, 19066, 19077, 19082, 19247, 19579, 21019, 21776, 22643 "
" SEE-MACU-23671 ";" 11 ";" 13363, 13368, 13500, 15886, 16418, 18216, 18979, 19442, 19942, 21534, 22644 "
" SEE-GOES-22798 ";" 8 ";" 14110, 16862, 18852, 19560, 20265, 20712, 22080, 22645 "
" SEE-SEES-22968 ";" 8 ";" 15997, 16349, 17716, 18976, 19603, 20010, 21573, 22646 "
" SEE-SAES-22239 ";" 6 ";" 14606, 17056, 18676, 20021, 21421, 22647 "
" SEE-POHA-22548 ";" 12 ";" 15779, 16707, 17998, 18438, 19426, 20114, 20545, 20550, 20763, 21169, 21556, 22649 "
" SEE-FRTE-22776 ";" 12 ";" 12518, 12674, 13114, 15636, 16402, 18013, 18734, 19726, 20279, 20805, 21787, 22650 "
" SEE-INIM-23146 ";" 34 ";" 12575, 12585, 12588, 12756, 12917, 13090, 13763, 13990, 14005, 14313, 14317, 14594, 14810, 14862, 14864, 15052, 16489, 17316, 17779, 18144, 19080, 19086, 19373, 19748, 20391, 21101, 21106, 21109, 21274, 21975, 22653, 22843, 22892, 22951 "
" SEE-POTE-22891 ";" 10 ";" 12519, 16211, 16215, 16233, 16676, 18096, 18777, 19200, 21531, 22654 "
" SEE-FRIS-22883 ";" 7 ";" 16819, 18886, 19157, 19814, 21039, 21987, 22655 "
" SEE-CAGA-22927 ";" 11 ";" 13206, 14671, 14873, 16409, 16410, 17698, 18209, 19117, 19645, 21478, 22656 "
" SEE-INIM-23151 ";" 11 ";" 12591, 13058, 13528, 13977, 14666, 16840, 19180, 20335, 20909, 21488, 22662 "
" SEE-COES-22825 ";" 10 ";" 12815, 16060, 16257, 16958, 18526, 19979, 20785, 21501, 22666, 22947 "
" SEE-CAGA-23374 ";" 14 ";" 12954, 14563, 15518, 15670, 15977, 16621, 19079, 19250, 19456, 20324, 20669, 21266, 21391, 22667 "
" SEE-CAHA-21917 ";" 30 ";" 12629, 12687, 12823, 12900, 13111, 13340, 13560, 13698, 13863, 13941, 14208, 14374, 14546, 14591, 14797, 15166, 15692, 15868, 16192, 16860, 17140, 17756, 19749, 20144, 20341, 20349, 20891, 21361, 21419, 22672 "
" SEE-MOIA-22188 ";" 9 ";" 13099, 15491, 16482, 18044, 18677, 20181, 20613, 21581, 22673 "
" SEE-TRAS-22082 ";" 12 ";" 12974, 13424, 14071, 14612, 15304, 16387, 17974, 19371, 19753, 20365, 21682, 22674 "
" SEE-TAIM-23169 ";" 12 ";" 12543, 14255, 14267, 15747, 15786, 16771, 18085, 18768, 19973, 20934, 22089, 22676 "
" SEE-TENI-22980 ";" 18 ";" 12540, 12552, 12984, 12998, 13089, 13647, 14632, 16201, 16890, 17623, 17912, 17985, 19185, 20384, 20554, 21127, 21792, 22678 "
" SEE-JOIS-23823 ";" 8 ";" 12827, 12944, 16276, 17046, 18208, 19735, 21699, 22680 "
" SEE-SERO-22050 ";" 5 ";" 17023, 18775, 20011, 21693, 22681 "
" SEE-BRAS-23227 ";" 10 ";" 12659, 13632, 14621, 15386, 16917, 17961, 18294, 19106, 21310, 22682 "
" SEE-ATIA-22816 ";" 9 ";" 13032, 15109, 15888, 16687, 17850, 18948, 19307, 21247, 22683 "
" SEE-UBAI-22286 ";" 10 ";" 13002, 15469, 16699, 17687, 19126, 19571, 20975, 21156, 21833, 22684 "
" SEE-SACO-22221 ";" 9 ";" 14051, 17014, 18397, 19098, 20140, 20898, 21325, 22018, 22686 "
" SEE-SARO-22569 ";" 6 ";" 13801, 16362, 18570, 20285, 21649, 22689 "
" SEE-VAIA-22293 ";" 8 ";" 12599, 16531, 18749, 19214, 20847, 21322, 21476, 22690 "
" SEE-COUS-23001 ";" 8 ";" 13048, 16647, 18370, 19311, 19439, 20464, 21886, 22691 "
" SEE-JAIA-22137 ";" 6 ";" 16801, 18903, 19226, 19428, 21773, 22692 "
" SEE-SACO-22206 ";" 9 ";" 13254, 13634, 14615, 16375, 16798, 20232, 21996, 21997, 22694 "
" SEE-COHO-22118 ";" 10 ";" 13097, 14139, 15458, 16390, 18481, 19470, 20281, 21434, 22695, 22928 "
" SEE-GUES-22386 ";" 11 ";" 12926, 14920, 16556, 17031, 17965, 18443, 19482, 20173, 20801, 21261, 22698 "
" SEE-MASO-22180 ";" 7 ";" 12515, 22699, 22876, 22929, 22932, 22954, 22958 "
" SEE-COUS-22997 ";" 13 ";" 14566, 16242, 17510, 17598, 17601, 17611, 17617, 17935, 18472, 19952, 20472, 21756, 22700 "
" SEE-RIAS-22563 ";" 19 ";" 12511, 12716, 12859, 12872, 13104, 14065, 15855, 15931, 15937, 16854, 18103, 18300, 18324, 18589, 19906, 20193, 21625, 22701, 22948 "
" SEE-CHHA-22110 ";" 14 ";" 13556, 14271, 14336, 16413, 17264, 17363, 17520, 18665, 20180, 20537, 20696, 21838, 22128, 22702 "
" SEE-BELO-22917 ";" 8 ";" 14233, 17094, 17111, 18771, 20185, 20991, 21644, 22703 "
" SEE-JAIA-22145 ";" 8 ";" 14009, 16479, 18177, 18796, 19775, 19927, 21458, 22704 "
" SEE-SACO-22220 ";" 9 ";" 14818, 14961, 16494, 19509, 19903, 20456, 20462, 22002, 22705 "
" SEE-VAIA-22299 ";" 9 ";" 13076, 13668, 16671, 18951, 19202, 20836, 21140, 21500, 22706 "
" SEE-COUS-22996 ";" 11 ";" 15668, 15674, 15688, 16507, 18722, 19686, 20271, 20465, 20817, 21565, 22707 "
" SEE-JAAR-23350 ";" 9 ";" 16061, 16586, 17514, 18081, 18484, 19529, 20162, 21623, 22708 "
" SEE-SIIA-23409 ";" 20 ";" 12729, 13258, 13293, 13650, 13835, 13980, 14198, 14263, 16431, 16919, 18211, 18910, 20233, 21276, 21319, 21530, 21937, 21969, 22122, 22712 "
" SEE-SAES-22260 ";" 5 ";" 16980, 18480, 19445, 20074, 22713 "
" SEE-JAIA-22165 ";" 11 ";" 12883, 13065, 14911, 15245, 16601, 17797, 18164, 18547, 19374, 21456, 22715 "
" SEE-MIAS-21924 ";" 5 ";" 14075, 14422, 16469, 21496, 22716 "
" SEE-ALRA-23119 ";" 8 ";" 16323, 18099, 18890, 19083, 19707, 20267, 21895, 22718 "
" SEE-SAES-22277 ";" 11 ";" 14118, 15391, 15394, 17083, 17287, 18075, 18730, 19826, 20164, 21795, 22722 "
" SEE-RIAS-22560 ";" 12 ";" 12660, 14343, 15814, 15847, 16005, 16592, 17984, 18528, 19841, 20747, 21771, 22724 "
" SEE-JAIA-21966 ";" 11 ";" 14302, 14540, 14796, 14803, 16020, 16064, 16206, 16207, 17960, 21630, 22725 "
" SEE-ITMI-23193 ";" 16 ";" 13050, 13434, 13726, 14663, 15869, 15902, 15998, 15999, 16230, 16870, 17199, 19602, 19831, 21709, 22025, 22728 "
" SEE-ITMI-23194 ";" 14 ";" 12898, 14661, 15525, 15919, 16097, 16450, 18247, 19179, 19505, 20351, 20500, 20980, 21614, 22730 "
" SEE-CHHA-22111 ";" 13 ";" 13309, 13512, 13554, 14335, 16715, 17263, 17365, 18916, 19153, 20777, 21599, 22126, 22731 "
" SEE-RUIM-23127 ";" 7 ";" 16311, 18166, 18969, 19996, 21901, 22102, 22733 "
" SEE-UBAI-22282 ";" 36 ";" 12846, 12921, 12978, 12987, 13001, 13819, 13830, 13832, 13834, 13841, 13845, 14066, 14154, 14156, 14161, 14669, 15139, 15141, 15145, 15147, 15179, 15234, 15262, 16208, 16946, 18215, 18931, 19866, 20299, 20301, 20304, 20311, 21238, 21974, 22734, 22919 "
" SEE-CAAI-22922 ";" 3 ";" 21182, 22735, 22970 "
" SEE-POHA-22544 ";" 9 ";" 14059, 14200, 14460, 14551, 16030, 16294, 19076, 21248, 22736 "
" SEE-SAES-22278 ";" 10 ";" 14439, 14692, 16558, 18255, 18479, 19368, 19508, 20870, 21555, 22737 "
" SEE-MOOS-22577 ";" 5 ";" 13715, 16468, 19741, 21892, 22739 "
" SEE-JUIA-22167 ";" 7 ";" 13654, 14816, 16448, 18476, 19331, 21562, 22741 "
" SEE-MOIA-22186 ";" 5 ";" 16807, 18467, 19114, 19416, 22742 "
" SEE-LEDO-22036 ";" 9 ";" 14046, 15487, 16449, 17999, 18959, 19926, 20910, 21294, 22744 "
" SEE-POES-22955 ";" 13 ";" 15942, 16099, 16618, 16911, 17867, 17926, 18587, 19692, 19934, 21673, 21962, 22095, 22746 "
" SEE-SATO-23131 ";" 7 ";" 16500, 17928, 18736, 20218, 20899, 21589, 22747 "
" SEE-MAIM-23680 ";" 8 ";" 14022, 16559, 17146, 18988, 19462, 20252, 21636, 22749 "
" SEE-URIA-22288 ";" 9 ";" 15861, 16009, 16871, 18799, 19588, 19883, 21634, 22135, 22754 "
" SEE-CAGA-22926 ";" 12 ";" 13225, 13906, 14685, 14871, 15079, 15808, 16316, 17700, 19350, 19589, 21720, 22755 "
" SEE-SAES-22245 ";" 6 ";" 17029, 18602, 20244, 20877, 21873, 22756 "
" SEE-SAES-22262 ";" 8 ";" 13108, 16816, 18022, 18381, 19704, 20069, 21579, 22757 "
" SEE-SAES-22274 ";" 9 ";" 14429, 14960, 16679, 17682, 18980, 19345, 19417, 21871, 22760 "
" SEE-CHTE-22770 ";" 9 ";" 15303, 15711, 16969, 18129, 18846, 19259, 19492, 21446, 22761 "
" SEE-COUS-22992 ";" 8 ";" 16628, 18420, 19132, 19745, 20471, 21882, 22085, 22762 "
" SEE-ITTA-23196 ";" 15 ";" 12844, 12847, 13189, 13383, 14192, 14561, 15095, 16732, 18692, 20073, 20505, 20679, 20984, 21378, 22765 "
" SEE-PAIS-23353 ";" 9 ";" 12625, 13233, 14569, 14879, 17107, 17857, 20901, 21485, 22766 "
" SEE-BURO-22061 ";" 10 ";" 13080, 16321, 17191, 18192, 18459, 19263, 22064, 22107, 22768, 22937 "
" SEE-COUS-22993 ";" 10 ";" 14025, 16348, 17167, 18088, 18089, 18611, 20257, 20466, 21479, 22769 "
" SEE-MACU-23676 ";" 12 ";" 13215, 15138, 16277, 16624, 16803, 18156, 18555, 19657, 19854, 20996, 22075, 22770 "
" SEE-TAIM-23170 ";" 34 ";" 13392, 13411, 13419, 13440, 13452, 13456, 13458, 13470, 13478, 13483, 13493, 13498, 13530, 13545, 14266, 15305, 16575, 17257, 18857, 19270, 19576, 20353, 20739, 20839, 20873, 20979, 21026, 21040, 21043, 21050, 21052, 21062, 21584, 22771 "
" SEE-CATI-22522 ";" 7 ";" 16381, 18354, 19238, 19513, 20710, 21514, 22772 "
" SEE-PAHO-23826 ";" 8 ";" 15988, 17041, 18090, 18091, 18513, 20241, 21429, 22773 "
" SEE-MOOS-22579 ";" 7 ";" 12530, 16564, 17939, 18380, 19359, 21574, 22774 "
" SEE-BOIM-23819 ";" 9 ";" 14905, 15798, 16491, 18515, 18999, 19810, 20123, 21672, 22775 "
" SEE-SATE-23361 ";" 8 ";" 15949, 16065, 16568, 16832, 18993, 20039, 21550, 22776 "
" SEE-JAIA-22150 ";" 11 ";" 12546, 13165, 13643, 16589, 17488, 18568, 19632, 20106, 21596, 22777, 22959 "
" SEE-JOER-23149 ";" 13 ";" 12590, 12695, 12891, 13100, 13526, 14558, 14664, 16842, 19207, 19422, 20864, 21227, 22778 "
" SEE-SACO-22215 ";" 9 ";" 15110, 16603, 18005, 18952, 19562, 20137, 20788, 21323, 22780 "
" SEE-SAAS-22913 ";" 3 ";" 21170, 21914, 22782 "
" SEE-IBTU-22120 ";" 8 ";" 13119, 15637, 16496, 18782, 19146, 21244, 21639, 22783 "
" SEE-MOOS-22747 ";" 8 ";" 16617, 17933, 18830, 19768, 19896, 20557, 21647, 22784 "
" SEE-LUIA-23330 ";" 8 ";" 12547, 14626, 15150, 16270, 19272, 21988, 21998, 22786 "
" SEE-SAHA-23212 ";" 9 ";" 13021, 15264, 16596, 17954, 18702, 19555, 19981, 21674, 22787 "
" SEE-JODE-23786 ";" 4 ";" 16266, 18521, 19125, 22789 "
" SEE-SATO-23133 ";" 11 ";" 13123, 13533, 15655, 17098, 18935, 20288, 20333, 21918, 21946, 22790, 22960 "
" SEE-BRAS-23229 ";" 12 ";" 12521, 12992, 16812, 17726, 17740, 18141, 18860, 19220, 20841, 21799, 22791, 22921 "
" SEE-NORO-22942 ";" 14 ";" 13230, 13337, 14364, 14722, 14723, 16256, 16811, 18680, 19533, 20009, 21367, 22015, 22121, 22792 "
" SEE-CHHA-22108 ";" 8 ";" 13239, 13555, 16424, 18819, 19322, 19729, 21605, 22794 "
" SEE-PIIS-22199 ";" 9 ";" 13266, 14023, 16591, 16973, 18798, 19222, 19425, 22136, 22796 "
" SEE-ESSA-22524 ";" 10 ";" 13316, 13431, 13522, 14846, 16328, 18847, 19985, 20895, 21431, 22797 "
" SEE-MENA-22911 ";" 11 ";" 12765, 12772, 12839, 15913, 16995, 17868, 18678, 19640, 19982, 21568, 22802 "
" SEE-NORO-22944 ";" 10 ";" 12550, 14138, 14214, 18377, 19600, 20083, 20497, 21020, 21700, 22803 "
" SEE-ITBA-22034 ";" 15 ";" 13805, 13825, 13843, 13847, 14801, 14894, 15783, 16989, 18800, 19624, 19977, 20432, 21316, 21789, 22804 "
" SEE-IMAS-23140 ";" 44 ";" 12579, 12583, 13042, 13591, 13762, 13788, 13962, 13973, 13991, 14006, 14094, 14701, 14860, 15049, 15306, 16429, 20396, 20424, 20458, 20469, 20476, 20478, 20479, 20480, 20484, 20488, 20549, 20552, 20585, 20588, 20590, 20592, 20597, 20605, 20607, 20609, 20625, 20627, 20634, 21272, 21529, 22805, 22893, 22907 "
" SEE-SATE-23362 ";" 33 ";" 12610, 12849, 12892, 12899, 12907, 13028, 13317, 13525, 14923, 15112, 15180, 15283, 15383, 15402, 15405, 15412, 15762, 15765, 15797, 15815, 16062, 16130, 16168, 16653, 16833, 17130, 17196, 17373, 17987, 21704, 22808, 22933, 22943 "
" SEE-CHTE-22768 ";" 13 ";" 15742, 15743, 16088, 16781, 17221, 17839, 18134, 18883, 19474, 20245, 20728, 21252, 22810 "
" SEE-COUS-22998 ";" 13 ";" 12534, 13570, 14636, 16922, 19388, 20024, 20470, 20521, 20641, 20897, 22086, 22812, 22926 "
" SEE-ITIM-22907 ";" 4 ";" 17731, 17865, 18143, 22820 "
" SEE-TENI-22975 ";" 34 ";" 12573, 12703, 13355, 13583, 13770, 13987, 14544, 14857, 15000, 15051, 15055, 15320, 15450, 15545, 15604, 15939, 16090, 16095, 16148, 16172, 17133, 17293, 17434, 17665, 17846, 17888, 17889, 17890, 17891, 20378, 20575, 20758, 21080, 22823 "
" SEE-SADA-23689 ";" 8 ";" 13219, 14575, 16300, 16635, 18610, 20048, 21580, 22837 "
" SEE-BELO-22761 ";" 7 ";" 13651, 16641, 18748, 19203, 21502, 21990, 22850 "
" SEE-SAAS-22914 ";" 11 ";" 13384, 14084, 14252, 14307, 16867, 18936, 20184, 20717, 21844, 22857, 22912 "
" SEE-SACO-22209 ";" 8 ";" 14630, 16984, 17452, 17936, 19161, 20959, 21830, 22863 "
" SEE-ARAI-22756 ";" 19 ";" 13226, 14780, 15483, 16252, 16918, 17331, 18026, 18027, 18331, 18945, 19720, 20067, 20769, 21269, 21793, 21935, 21967, 22007, 22868 "
" SEE-MIAS-22043 ";" 2 ";" 21180, 22898 "
" SEE-COUS-23003 ";" 17 ";" 13387, 14168, 14334, 16466, 17729, 18546, 19642, 19943, 20306, 20307, 20950, 21515, 21986, 22112, 22901, 22904, 22906 "
" SEE-JAIA-21965 ";" 10 ";" 13216, 14392, 16309, 17672, 17956, 20089, 20892, 21770, 22908, 22914 "
" SEE-FEIA-22080 ";" 15 ";" 12737, 12903, 13350, 14730, 15274, 15989, 16738, 19770, 20040, 20355, 20611, 21041, 21072, 21884, 22913 "
