Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-GUBA-4100;20;37;45;42;58;52;skyware;35436-000;"Zona Rural Café - BAIRRO Café";;;GUARACIABA;"SL 4033";;;Lider
SES-GUBA-4101;20;34;18;43;00;37;skyware;35436-000;" Rua Coração de Maria 307 -  Centro";;;GUARACIABA;"SL 2000";;;Lider
SES-GUBA-4098;20;33;29;43;06;38;skyware;35436-000;"Zona Rural Penha";;;GUARACIABA;"SL 2000";;;Lider
SES-GUBA-4097;20;34;16;43;00;30;skyware;35436-000;"Rua Coração de Maria";" 68";;GUARACIABA;"SL 4033";;;Lider
SES-GUNI-4092;21;20;58;43;03;11;patriot;36160-000;"Praça José Carvalho Ornellas s/n";;;GUARANI;"SL 4033";;;Lider
SES-GUTA-3527;18;55;54;49;50;54;skyware;38310-000;"Rua Quintiliano Pereira Rosa";" 137";;GURINHATÃ;"SL 2000";;;Lider
SES-HERA-3870;22;04;07;45;32;07;skyware;37.484-000;"RUA DA LIBERDADE";" 329";;HELIODORA;"SL 2000";;;Lider
SES-HERA-3871;22;32;58;45;46;59;skyware;37.484-000;"RUA CLAÚDIO MANOEL DA COSTA";" 06";;HELIODORA;"SL 2000";;;Lider
SES-INRA-0868;15;29;39;42;12;00;skyware;39536-000;"avenida B";" 0 ";" CENTRO";INDAIABIRA;"SL 2000";;;Lider
SES-ITRA-3993;19;37;42;43;13;23;skyware;35900-199;"RUA LUIZ VENTURA 75";;;ITABIRA;"SL 4033";;;Lider
SES-ITRA-3997;19;37;32;43;13;48;skyware;35900-000;"RUA NOVA ERA";" 200  ";" CENTRO";ITABIRA;"SL 2000";;;Lider
SES-ITRA-4019;19;36;57;43;13;44;skyware;35900-062;"AV JOAO SOARES DA SILVA 135";;;ITABIRA;"SL 4033";;;Lider
SES-ITVA-0904;22;32;97;46;46;98;skyware;37655-000;"Rua Tobias de Andrade";" 230 ";" Centro";ITAPEVA;"SL 2000";;;Lider
SES-ITBA-3506;18;57;50;49;27;57;skyware;38300-172;"Rua Jorge Jacob Yunes";" 605";;ITUIUTABA;;;;Lider
SES-ITBA-3510;18;58;21;49;27;39;skyware;38300-080;"RUA 26 C entre 13 e 15 - Centro";;;ITUIUTABA;"SL 4033";;;Lider
SES-ITBA-3523;19;59;5;49;26;48;;38304-036;"Rua Maria Conceição Goulart Furtado";" 726";;ITUIUTABA;"SL 4033";;;Lider
SES-ITBA-3524;18;59;33;49;26;47;skyware;38304-202;"Rua Suiça s/n.º";;;ITUIUTABA;"SL 2000";;;Lider
SES-ITBA-3526;18;59;58;49;27;17;skyware;38304-406;"Rua 24";" 3944";;ITUIUTABA;"SL 4033";;;Lider
SES-JAAS-5537;19;31;37;43;44;49;skyware;35830-000;"RUA ESPERANÇA 20";;;JABOTICATUBAS;"SL 2000";;;Vodanet
SES-JAUI-4243;21;01;03;46;44;31;skyware;37965-000;"Rua Campos Sales ";101;;JACUÍ;"SL 4033";;;Lider
SES-JODE-5554;19;49;51;43;09;45;skyware;35930-002;" Avenida Getúlio Vargas";" 4232 ";" Carneirinhos";"JOÃO MONLEVADE";"SL 4033";;;Lider
SES-JURA-5531;21;44;28;43;28;36;skyware;36087-100;"Estrada do Café";" s/n";;"JUIZ DE FORA";"SL 2000";;;Lider
SES-LARI-4596;21;58;22;45;20;47;skyware;37480-000;"AVENIDA RENATO NASCIMENTO -  VOLTA DO Ó";;;LAMBARI;"SL 2000";;;Lider
SES-MAIS-3348;17;04;50;40;42;57;"Brasil Sat";39873-000;" RUA BELO HORIZONTE 187- CENTRO/ATRAS DO POSTO DE SAÚDE";;;MACHACALIS;;;;Lider
SES-MAIS-3668;17;04;40;40;42;55;skyware;39873-000;"RUA PEDRO DIAS DO NASCIMENTO ";" s/n ";" Centro";MACHACALIS;"SL 2000";;;Lider
SES-MAAS-4579;19;07;97;43;32;07;skyware;36660-00;"Rua Cruzeiro 140 - Serra";;;MARAVILHAS;"SL 2000";;;Lider
SES-MAAS-4578;19;32;58;43;46;59;skyware;35666-000;"Rua José Aniceto";" s/n.º ";" Centro";MARAVILHAS;"SL 2000";;;Lider
"SES-MAFE- 4247";22;18;26;45;22;08;skyware;37517-000;" RUA LUIZ CORREA CARDOS";" LAGE";;"MARIA DA FÉ";"SL 4033";;;Lider
